code,name,name_en,full_name,full_name_en,code_name,district_code,center
21643,Hoài Sơn,Hoai Son,Xã Hoài Sơn,Hoai Son Commune,hoai_son,543,"14.4258653, 109.0136668"
21646,Hoài Châu Bắc,Hoai Chau Bac,Xã Hoài Châu Bắc,Hoai Chau Bac Commune,hoai_chau_bac,543,
21649,Hoài Châu,Hoai Chau,Xã Hoài Châu,Hoai Chau Commune,hoai_chau,543,
21652,Hoài Phú,Hoai Phu,Xã Hoài Phú,Hoai Phu Commune,hoai_phu,543,"14.4258653, 109.0136668"
21655,Tam Quan Bắc,Tam Quan Bac,Phường Tam Quan Bắc,Tam Quan Bac Ward,tam_quan_bac,543,
21658,Tam Quan Nam,Tam Quan Nam,Phường Tam Quan Nam,Tam Quan Nam Ward,tam_quan_nam,543,
21661,Hoài Hảo,Hoai Hao,Phường Hoài Hảo,Hoai Hao Ward,hoai_hao,543,
21664,Hoài Thanh Tây,Hoai Thanh Tay,Phường Hoài Thanh Tây,Hoai Thanh Tay Ward,hoai_thanh_tay,543,
21667,Hoài Thanh,Hoai Thanh,Phường Hoài Thanh,Hoai Thanh Ward,hoai_thanh,543,"14.4003271, 108.9781197"
21670,Hoài Hương,Hoai Huong,Phường Hoài Hương,Hoai Huong Ward,hoai_huong,543,
21673,Hoài Tân,Hoai Tan,Phường Hoài Tân,Hoai Tan Ward,hoai_tan,543,"14.5464497, 109.0698257"
21676,Hoài Hải,Hoai Hai,Xã Hoài Hải,Hoai Hai Commune,hoai_hai,543,"14.4658514, 109.1102499"
21679,Hoài Xuân,Hoai Xuan,Phường Hoài Xuân,Hoai Xuan Ward,hoai_xuan,543,"14.4658514, 109.1102499"
21682,Hoài Mỹ,Hoai My,Xã Hoài Mỹ,Hoai My Commune,hoai_my,543,
21685,Hoài Đức,Hoai Duc,Phường Hoài Đức,Hoai Duc Ward,hoai_duc,543,"14.5448197, 109.0396968"
21688,Tăng Bạt Hổ,Tang Bat Ho,Thị trấn Tăng Bạt Hổ,Tang Bat Ho Township,tang_bat_ho,544,"14.3634741, 108.9648967"
21690,Ân Hảo Tây,An Hao Tay,Xã Ân Hảo Tây,An Hao Tay Commune,an_hao_tay,544,
21691,Ân Hảo Đông,An Hao Dong,Xã Ân Hảo Đông,An Hao Dong Commune,an_hao_dong,544,
21694,Ân Sơn,An Son,Xã Ân Sơn,An Son Commune,an_son,544,"14.2574624, 108.8789897"
21697,Ân Mỹ,An My,Xã Ân Mỹ,An My Commune,an_my,544,"14.468655649999999, 108.919624475"
21700,Đak Mang,Dak Mang,Xã Đak Mang,Dak Mang Commune,dak_mang,544,
21703,Ân Tín,An Tin,Xã Ân Tín,An Tin Commune,an_tin,544,"14.3645869, 108.96752159958324"
21706,Ân Thạnh,An Thanh,Xã Ân Thạnh,An Thanh Commune,an_thanh,544,"14.39559375, 108.97273946960458"
21709,Ân Phong,An Phong,Xã Ân Phong,An Phong Commune,an_phong,544,"14.3625259, 108.96325219238648"
21712,Ân Đức,An Duc,Xã Ân Đức,An Duc Commune,an_duc,544,"14.4370521, 108.9398555"
21715,Ân Hữu,An Huu,Xã Ân Hữu,An Huu Commune,an_huu,544,
21718,Bok Tới,Bok Toi,Xã Bok Tới,Bok Toi Commune,bok_toi,544,
21721,Ân Tường Tây,An Tuong Tay,Xã Ân Tường Tây,An Tuong Tay Commune,an_tuong_tay,544,
21724,Ân Tường Đông,An Tuong Dong,Xã Ân Tường Đông,An Tuong Dong Commune,an_tuong_dong,544,
21727,Ân Nghĩa,An Nghia,Xã Ân Nghĩa,An Nghia Commune,an_nghia,544,"14.2211213, 108.8565415"
21730,Phù Mỹ,Phu My,Thị trấn Phù Mỹ,Phu My Township,phu_my,545,"14.1844162, 109.0400681"
21733,Bình Dương,Binh Duong,Thị trấn Bình Dương,Binh Duong Township,binh_duong,545,"14.2972357, 109.0796699"
21736,Mỹ Đức,My Duc,Xã Mỹ Đức,My Duc Commune,my_duc,545,"14.1718045, 109.0532413"
21739,Mỹ Châu,My Chau,Xã Mỹ Châu,My Chau Commune,my_chau,545,"10.5158014, 105.319736"
21742,Mỹ Thắng,My Thang,Xã Mỹ Thắng,My Thang Commune,my_thang,545,"21.0308949, 105.77577010580853"
21745,Mỹ Lộc,My Loc,Xã Mỹ Lộc,My Loc Commune,my_loc,545,
21748,Mỹ Lợi,My Loi,Xã Mỹ Lợi,My Loi Commune,my_loi,545,"14.1412142, 109.2069201"
21751,Mỹ An,My An,Xã Mỹ An,My An Commune,my_an,545,"14.168793, 109.0487367"
21754,Mỹ Phong,My Phong,Xã Mỹ Phong,My Phong Commune,my_phong,545,"14.1718045, 109.0532413"
21757,Mỹ Trinh,My Trinh,Xã Mỹ Trinh,My Trinh Commune,my_trinh,545,
21760,Mỹ Thọ,My Tho,Xã Mỹ Thọ,My Tho Commune,my_tho,545,"14.1730672, 109.0516339"
21763,Mỹ Hòa,My Hoa,Xã Mỹ Hòa,My Hoa Commune,my_hoa,545,"14.1707401, 109.0599083"
21766,Mỹ Thành,My Thanh,Xã Mỹ Thành,My Thanh Commune,my_thanh,545,"14.1576457, 109.1987407"
21769,Mỹ Chánh,My Chanh,Xã Mỹ Chánh,My Chanh Commune,my_chanh,545,"11.127881, 106.6390245"
21772,Mỹ Quang,My Quang,Xã Mỹ Quang,My Quang Commune,my_quang,545,"14.1704957, 109.0601014"
21775,Mỹ Hiệp,My Hiep,Xã Mỹ Hiệp,My Hiep Commune,my_hiep,545,"10.4224575, 106.080662"
21778,Mỹ Tài,My Tai,Xã Mỹ Tài,My Tai Commune,my_tai,545,
21781,Mỹ Cát,My Cat,Xã Mỹ Cát,My Cat Commune,my_cat,545,"14.1253751, 109.2062408"
21784,Mỹ Chánh Tây,My Chanh Tay,Xã Mỹ Chánh Tây,My Chanh Tay Commune,my_chanh_tay,545,
21786,Vĩnh Thạnh,Vinh Thanh,Thị trấn Vĩnh Thạnh,Vinh Thanh Township,vinh_thanh,546,"14.1089024, 108.78404"
21787,Vĩnh Sơn,Vinh Son,Xã Vĩnh Sơn,Vinh Son Commune,vinh_son,546,"14.37445395, 108.68029224750117"
21790,Vĩnh Kim,Vinh Kim,Xã Vĩnh Kim,Vinh Kim Commune,vinh_kim,546,
21796,Vĩnh Hiệp,Vinh Hiep,Xã Vĩnh Hiệp,Vinh Hiep Commune,vinh_hiep,546,
21799,Vĩnh Hảo,Vinh Hao,Xã Vĩnh Hảo,Vinh Hao Commune,vinh_hao,546,
21801,Vĩnh Hòa,Vinh Hoa,Xã Vĩnh Hòa,Vinh Hoa Commune,vinh_hoa,546,"14.03704665, 108.81845252434007"
21802,Vĩnh Thịnh,Vinh Thinh,Xã Vĩnh Thịnh,Vinh Thinh Commune,vinh_thinh,546,
21804,Vĩnh Thuận,Vinh Thuan,Xã Vĩnh Thuận,Vinh Thuan Commune,vinh_thuan,546,"16.056021, 108.2117546"
21805,Vĩnh Quang,Vinh Quang,Xã Vĩnh Quang,Vinh Quang Commune,vinh_quang,546,"14.0556124, 108.7914174"
21808,Phú Phong,Phu Phong,Thị trấn Phú Phong,Phu Phong Township,phu_phong,547,"13.909197, 108.9154395"
21811,Bình Tân,Binh Tan,Xã Bình Tân,Binh Tan Commune,binh_tan,547,
21814,Tây Thuận,Tay Thuan,Xã Tây Thuận,Tay Thuan Commune,tay_thuan,547,"13.9224228, 109.010263"
21817,Bình Thuận,Binh Thuan,Xã Bình Thuận,Binh Thuan Commune,binh_thuan,547,"13.9260373, 108.9949681"
21820,Tây Giang,Tay Giang,Xã Tây Giang,Tay Giang Commune,tay_giang,547,"13.9602767, 108.8269825"
21823,Bình Thành,Binh Thanh,Xã Bình Thành,Binh Thanh Commune,binh_thanh,547,"13.9812682, 108.9883541"
21826,Tây An,Tay An,Xã Tây An,Tay An Commune,tay_an,547,"13.9247954, 109.0217761"
21829,Bình Hòa,Binh Hoa,Xã Bình Hòa,Binh Hoa Commune,binh_hoa,547,"13.916410500000001, 108.95600891365055"
21832,Tây Bình,Tay Binh,Xã Tây Bình,Tay Binh Commune,tay_binh,547,"13.9329981, 109.0158758"
21835,Bình Tường,Binh Tuong,Xã Bình Tường,Binh Tuong Commune,binh_tuong,547,
21838,Tây Vinh,Tay Vinh,Xã Tây Vinh,Tay Vinh Commune,tay_vinh,547,"13.9247954, 109.0217761"
21841,Vĩnh An,Vinh An,Xã Vĩnh An,Vinh An Commune,vinh_an,547,"13.9247954, 109.0217761"
21844,Tây Xuân,Tay Xuan,Xã Tây Xuân,Tay Xuan Commune,tay_xuan,547,
21847,Bình Nghi,Binh Nghi,Xã Bình Nghi,Binh Nghi Commune,binh_nghi,547,"13.8779232, 108.9942301"
21850,Tây Phú,Tay Phu,Xã Tây Phú,Tay Phu Commune,tay_phu,547,"13.8908727, 108.8945446"
21853,Ngô Mây,Ngo May,Thị trấn Ngô Mây,Ngo May Township,ngo_may,548,"14.0026327, 109.0601098"
21856,Cát Sơn,Cat Son,Xã Cát Sơn,Cat Son Commune,cat_son,548,
21859,Cát Minh,Cat Minh,Xã Cát Minh,Cat Minh Commune,cat_minh,548,
21862,Cát Khánh,Cat Khanh,Xã Cát Khánh,Cat Khanh Commune,cat_khanh,548,
21865,Cát Tài,Cat Tai,Xã Cát Tài,Cat Tai Commune,cat_tai,548,"14.0947744, 109.103134"
21868,Cát Lâm,Cat Lam,Xã Cát Lâm,Cat Lam Commune,cat_lam,548,
21871,Cát Hanh,Cat Hanh,Xã Cát Hanh,Cat Hanh Commune,cat_hanh,548,
21874,Cát Thành,Cat Thanh,Xã Cát Thành,Cat Thanh Commune,cat_thanh,548,"13.9199724, 109.25249743270747"
21877,Cát Trinh,Cat Trinh,Xã Cát Trinh,Cat Trinh Commune,cat_trinh,548,"14.0139549, 109.0557088"
21880,Cát Hải,Cat Hai,Xã Cát Hải,Cat Hai Commune,cat_hai,548,"14.0031487, 109.0600278"
21883,Cát Hiệp,Cat Hiep,Xã Cát Hiệp,Cat Hiep Commune,cat_hiep,548,
21886,Cát Nhơn,Cat Nhon,Xã Cát Nhơn,Cat Nhon Commune,cat_nhon,548,"13.9199724, 109.25249743270747"
21889,Cát Hưng,Cat Hung,Xã Cát Hưng,Cat Hung Commune,cat_hung,548,
