code,name,name_en,full_name,full_name_en,code_name,province_code,center
028,Yên Minh,Yen Minh,Huyện Yên Minh,Yen Minh District,yen_minh,02,"23.07187915, 105.20839490144274"
029,Quản Bạ,Quan Ba,Huyện Quản Bạ,Quan Ba District,quan_ba,02,"23.0679595, 104.95037589574648"
030,Vị Xuyên,Vi Xuyen,Huyện Vị Xuyên,Vi Xuyen District,vi_xuyen,02,"22.76347785, 105.04439585401522"
031,Bắc Mê,Bac Me,Huyện Bắc Mê,Bac Me District,bac_me,02,"22.763282750000002, 105.28234608698708"
032,Hoàng Su Phì,Hoang Su Phi,Huyện Hoàng Su Phì,Hoang Su Phi District,hoang_su_phi,02,"22.694388099999998, 104.69078956169419"
033,Xín Mần,Xin Man,Huyện Xín Mần,Xin Man District,xin_man,02,"22.6344501, 104.50424938229064"
034,Bắc Quang,Bac Quang,Huyện Bắc Quang,Bac Quang District,bac_quang,02,"22.3933691, 104.92831463191126"
035,Quang Bình,Quang Binh,Huyện Quang Bình,Quang Binh District,quang_binh,02,"22.3848683, 104.65359949614746"
040,Cao Bằng,Cao Bang,Thành phố Cao Bằng,Cao Bang City,cao_bang,04,"22.6657612, 106.2588307"
042,Bảo Lâm,Bao Lam,Huyện Bảo Lâm,Bao Lam District,bao_lam,04,"22.876005749999997, 105.46837084050352"
043,Bảo Lạc,Bao Lac,Huyện Bảo Lạc,Bao Lac District,bao_lac,04,"22.8746728, 105.75083174079195"
045,Hà Quảng,Ha Quang,Huyện Hà Quảng,Ha Quang District,ha_quang,04,"22.8420028, 105.95487237053942"
047,Trùng Khánh,Trung Khanh,Huyện Trùng Khánh,Trung Khanh District,trung_khanh,04,"22.8263904, 106.46093906329244"
048,Hạ Lang,Ha Lang,Huyện Hạ Lang,Ha Lang District,ha_lang,04,"22.7125811, 106.663947376492"
049,Quảng Hòa,Quang Hoa,Huyện Quảng Hòa,Quang Hoa District,quang_hoa,04,"22.623941600000002, 106.47900902575776"
051,Hoà An,Hoa An,Huyện Hoà An,Hoa An District,hoa_an,04,"22.68792585, 106.30639535789939"
052,Nguyên Bình,Nguyen Binh,Huyện Nguyên Bình,Nguyen Binh District,nguyen_binh,04,"22.648736999999997, 105.9379062357025"
053,Thạch An,Thach An,Huyện Thạch An,Thach An District,thach_an,04,"22.480930700000002, 106.32169821921431"
058,Bắc Kạn,Bac Kan,Thành phố Bắc Kạn,Bac Kan City,bac_kan,06,"22.1494915, 105.837248"
060,Pác Nặm,Pac Nam,Huyện Pác Nặm,Pac Nam District,pac_nam,06,"22.6105131, 105.64470999536512"
061,Ba Bể,Ba Be,Huyện Ba Bể,Ba Be District,ba_be,06,"22.4107026, 105.722867615312"
062,Ngân Sơn,Ngan Son,Huyện Ngân Sơn,Ngan Son District,ngan_son,06,"22.43076375, 105.98546513057482"
063,Bạch Thông,Bach Thong,Huyện Bạch Thông,Bach Thong District,bach_thong,06,"22.20210065, 105.9357949031498"
064,Chợ Đồn,Cho Don,Huyện Chợ Đồn,Cho Don District,cho_don,06,"22.18756805, 105.57468620828968"
065,Chợ Mới,Cho Moi,Huyện Chợ Mới,Cho Moi District,cho_moi,06,"21.96519485, 105.87654689505666"
066,Na Rì,Na Ri,Huyện Na Rì,Na Ri District,na_ri,06,"22.162882449999998, 106.11203860923689"
070,Tuyên Quang,Tuyen Quang,Thành phố Tuyên Quang,Tuyen Quang City,tuyen_quang,08,"21.7879695, 105.217387"
071,Lâm Bình,Lam Binh,Huyện Lâm Bình,Lam Binh District,lam_binh,08,"22.47717015, 105.2500563279977"
072,Na Hang,Na Hang,Huyện Na Hang,Na Hang District,na_hang,08,"22.44809945, 105.47132197668026"
073,Chiêm Hóa,Chiem Hoa,Huyện Chiêm Hóa,Chiem Hoa District,chiem_hoa,08,"22.14925105, 105.30636016699103"
074,Hàm Yên,Ham Yen,Huyện Hàm Yên,Ham Yen District,ham_yen,08,"22.09549305, 105.0112213842072"
075,Yên Sơn,Yen Son,Huyện Yên Sơn,Yen Son District,yen_son,08,"21.86403755, 105.37115790677196"
076,Sơn Dương,Son Duong,Huyện Sơn Dương,Son Duong District,son_duong,08,"21.6984646, 105.391864"
080,Lào Cai,Lao Cai,Thành phố Lào Cai,Lao Cai City,lao_cai,10,"22.4997452, 103.9656924"
082,Bát Xát,Bat Xat,Huyện Bát Xát,Bat Xat District,bat_xat,10,"22.59698695, 103.68841519489202"
083,Mường Khương,Muong Khuong,Huyện Mường Khương,Muong Khuong District,muong_khuong,10,"22.685684000000002, 104.10301604641003"
084,Si Ma Cai,Si Ma Cai,Huyện Si Ma Cai,Si Ma Cai District,si_ma_cai,10,"22.662294199999998, 104.27281354969163"
085,Bắc Hà,Bac Ha,Huyện Bắc Hà,Bac Ha District,bac_ha,10,"22.5023175, 104.30679141685135"
086,Bảo Thắng,Bao Thang,Huyện Bảo Thắng,Bao Thang District,bao_thang,10,"22.378853, 104.17217418962038"
087,Bảo Yên,Bao Yen,Huyện Bảo Yên,Bao Yen District,bao_yen,10,"22.294473, 104.41798633583858"
088,Sa Pa,Sa Pa,Thị xã Sa Pa,Sa Pa Town,sa_pa,10,"22.3335173, 103.8425857"
089,Văn Bàn,Van Ban,Huyện Văn Bàn,Van Ban District,van_ban,10,"22.1592325, 104.340673"
094,Điện Biên Phủ,Dien Bien Phu,Thành phố Điện Biên Phủ,Dien Bien Phu City,dien_bien_phu,11,"21.3874893, 103.0185"
095,Mường Lay,Muong Lay,Thị xã Mường Lay,Muong Lay Town,muong_lay,11,"22.0484698, 103.1590651"
096,Mường Nhé,Muong Nhe,Huyện Mường Nhé,Muong Nhe District,muong_nhe,11,"22.26420765, 102.3731569116553"
097,Mường Chà,Muong Cha,Huyện Mường Chà,Muong Cha District,muong_cha,11,"21.8272713, 103.1428346145048"
098,Tủa Chùa,Tua Chua,Huyện Tủa Chùa,Tua Chua District,tua_chua,11,"21.9709478, 103.37740596517153"
099,Tuần Giáo,Tuan Giao,Huyện Tuần Giáo,Tuan Giao District,tuan_giao,11,"21.6456592, 103.37118850377689"
100,Điện Biên,Dien Bien,Huyện Điện Biên,Dien Bien District,dien_bien,11,"21.3874893, 103.0185"
101,Điện Biên Đông,Dien Bien Dong,Huyện Điện Biên Đông,Dien Bien Dong District,dien_bien_dong,11,"21.296732, 103.220093"
102,Mường Ảng,Muong Ang,Huyện Mường Ảng,Muong Ang District,muong_ang,11,"21.526797799999997, 103.25949991631711"
103,Nậm Pồ,Nam Po,Huyện Nậm Pồ,Nam Po District,nam_po,11,"21.88501385, 102.80759165422444"
105,Lai Châu,Lai Chau,Thành phố Lai Châu,Lai Chau City,lai_chau,12,"22.3996612, 103.4516882"
106,Tam Đường,Tam Duong,Huyện Tam Đường,Tam Duong District,tam_duong,12,"22.3300426, 103.61065135712238"
107,Mường Tè,Muong Te,Huyện Mường Tè,Muong Te District,muong_te,12,"22.3829, 102.814"
108,Sìn Hồ,Sin Ho,Huyện Sìn Hồ,Sin Ho District,sin_ho,12,"22.25057715, 103.35271392142076"
109,Phong Thổ,Phong Tho,Huyện Phong Thổ,Phong Tho District,phong_tho,12,"22.5454439, 103.2896149"
110,Than Uyên,Than Uyen,Huyện Than Uyên,Than Uyen District,than_uyen,12,"21.8838348, 103.80168115326606"
111,Tân Uyên,Tan Uyen,Huyện Tân Uyên,Tan Uyen District,tan_uyen,12,"22.12601495, 103.74486211042768"
112,Nậm Nhùn,Nam Nhun,Huyện Nậm Nhùn,Nam Nhun District,nam_nhun,12,"22.255682550000003, 103.03090269938167"
116,Sơn La,Son La,Thành phố Sơn La,Son La City,son_la,14,"21.3274048, 103.9151701"
118,Quỳnh Nhai,Quynh Nhai,Huyện Quỳnh Nhai,Quynh Nhai District,quynh_nhai,14,"21.776997899999998, 103.65989364112426"
119,Thuận Châu,Thuan Chau,Huyện Thuận Châu,Thuan Chau District,thuan_chau,14,"21.4348234, 103.6932196"
120,Mường La,Muong La,Huyện Mường La,Muong La District,muong_la,14,"21.52703995, 104.1116189369555"
121,Bắc Yên,Bac Yen,Huyện Bắc Yên,Bac Yen District,bac_yen,14,"21.2224042, 104.38660816122893"
122,Phù Yên,Phu Yen,Huyện Phù Yên,Phu Yen District,phu_yen,14,"21.2583973, 104.6435277"
123,Mộc Châu,Moc Chau,Huyện Mộc Châu,Moc Chau District,moc_chau,14,"20.87105085, 104.62917893497627"
124,Yên Châu,Yen Chau,Huyện Yên Châu,Yen Chau District,yen_chau,14,"20.991933500000002, 104.33219199697885"
125,Mai Sơn,Mai Son,Huyện Mai Sơn,Mai Son District,mai_son,14,"21.168582999999998, 103.97103037410544"
126,Sông Mã,Song Ma,Huyện Sông Mã,Song Ma District,song_ma,14,"21.0521811, 103.7486557"
127,Sốp Cộp,Sop Cop,Huyện Sốp Cộp,Sop Cop District,sop_cop,14,"20.938815, 103.597126"
128,Vân Hồ,Van Ho,Huyện Vân Hồ,Van Ho District,van_ho,14,"20.80959885, 104.87323503174335"
132,Yên Bái,Yen Bai,Thành phố Yên Bái,Yen Bai City,yen_bai,15,"21.69611, 104.8752392"
133,Nghĩa Lộ,Nghia Lo,Thị xã Nghĩa Lộ,Nghia Lo Town,nghia_lo,15,"21.6064201, 104.5036951"
135,Lục Yên,Luc Yen,Huyện Lục Yên,Luc Yen District,luc_yen,15,"22.1112389, 104.72064323659544"
136,Văn Yên,Van Yen,Huyện Văn Yên,Van Yen District,van_yen,15,"21.931317999999997, 104.57883597979314"
137,Mù Căng Chải,Mu Cang Chai,Huyện Mù Căng Chải,Mu Cang Chai District,mu_cang_chai,15,"21.8046757, 104.10644914098934"
138,Trấn Yên,Tran Yen,Huyện Trấn Yên,Tran Yen District,tran_yen,15,"21.704917000000002, 104.75562249114842"
139,Trạm Tấu,Tram Tau,Huyện Trạm Tấu,Tram Tau District,tram_tau,15,"21.4690903, 104.3780895"
140,Văn Chấn,Van Chan,Huyện Văn Chấn,Van Chan District,van_chan,15,"21.5695739, 104.61828269296876"
141,Yên Bình,Yen Binh,Huyện Yên Bình,Yen Binh District,yen_binh,15,"21.85933665, 104.93652707657826"
148,Hòa Bình,Hoa Binh,Thành phố Hòa Bình,Hoa Binh City,hoa_binh,17,"20.8252056, 105.3431291"
150,Đà Bắc,Da Bac,Huyện Đà Bắc,Da Bac District,da_bac,17,"20.93152525, 105.06792968281272"
152,Lương Sơn,Luong Son,Huyện Lương Sơn,Luong Son District,luong_son,17,"20.78145465, 105.60248177074686"
153,Kim Bôi,Kim Boi,Huyện Kim Bôi,Kim Boi District,kim_boi,17,"20.675926, 105.5140030747036"
154,Cao Phong,Cao Phong,Huyện Cao Phong,Cao Phong District,cao_phong,17,"20.6882915, 105.33832039321926"
155,Tân Lạc,Tan Lac,Huyện Tân Lạc,Tan Lac District,tan_lac,17,"20.609234, 105.22816457383709"
156,Mai Châu,Mai Chau,Huyện Mai Châu,Mai Chau District,mai_chau,17,"20.71664475, 104.97936963336959"
157,Lạc Sơn,Lac Son,Huyện Lạc Sơn,Lac Son District,lac_son,17,"20.498455, 105.43501003153847"
158,Yên Thủy,Yen Thuy,Huyện Yên Thủy,Yen Thuy District,yen_thuy,17,"20.427393000000002, 105.63056734764356"
159,Lạc Thủy,Lac Thuy,Huyện Lạc Thủy,Lac Thuy District,lac_thuy,17,"20.4955801, 105.74945849409471"
164,Thái Nguyên,Thai Nguyen,Thành phố Thái Nguyên,Thai Nguyen City,thai_nguyen,19,"21.592477, 105.8435398"
165,Sông Công,Song Cong,Thành phố Sông Công,Song Cong City,song_cong,19,"21.4912425, 105.82118483486346"
167,Định Hóa,Dinh Hoa,Huyện Định Hóa,Dinh Hoa District,dinh_hoa,19,"21.89639195, 105.62804920059747"
168,Phú Lương,Phu Luong,Huyện Phú Lương,Phu Luong District,phu_luong,19,"21.769590700000002, 105.71429477766767"
169,Đồng Hỷ,Dong Hy,Huyện Đồng Hỷ,Dong Hy District,dong_hy,19,"21.6850346, 105.89615713883906"
170,Võ Nhai,Vo Nhai,Huyện Võ Nhai,Vo Nhai District,vo_nhai,19,"21.785756650000003, 105.98447120778604"
171,Đại Từ,Dai Tu,Huyện Đại Từ,Dai Tu District,dai_tu,19,"21.60383565, 105.6118950564155"
172,Phổ Yên,Pho Yen,Thành phố Phổ Yên,Pho Yen City,pho_yen,19,"21.4517905, 105.75685279759244"
173,Phú Bình,Phu Binh,Huyện Phú Bình,Phu Binh District,phu_binh,19,"21.492260700000003, 105.9615781522054"
178,Lạng Sơn,Lang Son,Thành phố Lạng Sơn,Lang Son City,lang_son,20,"21.8528759, 106.7597458"
180,Tràng Định,Trang Dinh,Huyện Tràng Định,Trang Dinh District,trang_dinh,20,"22.3140466, 106.431038"
181,Bình Gia,Binh Gia,Huyện Bình Gia,Binh Gia District,binh_gia,20,"22.0584826, 106.2786565"
182,Văn Lãng,Van Lang,Huyện Văn Lãng,Van Lang District,van_lang,20,"22.0483039, 106.5998261"
183,Cao Lộc,Cao Loc,Huyện Cao Lộc,Cao Loc District,cao_loc,20,"21.884699599999998, 106.9078777030075"
184,Văn Quan,Van Quan,Huyện Văn Quan,Van Quan District,van_quan,20,"21.850786499999998, 106.55998350234555"
185,Bắc Sơn,Bac Son,Huyện Bắc Sơn,Bac Son District,bac_son,20,"21.8145798, 106.25099864741418"
186,Hữu Lũng,Huu Lung,Huyện Hữu Lũng,Huu Lung District,huu_lung,20,"21.5021391, 106.345456"
187,Chi Lăng,Chi Lang,Huyện Chi Lăng,Chi Lang District,chi_lang,20,"21.66646795, 106.59323985006756"
188,Lộc Bình,Loc Binh,Huyện Lộc Bình,Loc Binh District,loc_binh,20,"21.66952595, 106.91183779286854"
189,Đình Lập,Dinh Lap,Huyện Đình Lập,Dinh Lap District,dinh_lap,20,"21.5482453, 107.0968584"
193,Hạ Long,Ha Long,Thành phố Hạ Long,Ha Long City,ha_long,22,"20.9528365, 107.0800003"
